car_id,year,mod_id,vin,condition,odometer,car_cor_id_ext,car_cor_id_int
1,2012,1,1n4al2ap9cc126546,19,37887,1,2
2,2007,2,2b3ka53h07h761901,35,1,2,2
3,2014,3,1fmcu0gx7eua39653,45,29131,3,2
4,2014,3,1fmcu9g96eua24082,43,26035,1,3
5,2014,4,3fa6p0h78er301488,44,23074,1,2
6,2014,5,1fmjk1j56eef17694,44,21062,2,6
7,2014,6,1fadp3k24el239723,43,16579,3,2
8,2014,6,1fadp3k2xel239712,48,15277,1,2
9,2014,7,1fahp2e8xeg163753,45,16230,3,2
10,2013,8,3fadp4fj8dm220595,42,17391,3,2
11,2013,4,3fa6p0h7xdr108516,46,16158,2,2
12,2012,9,4jgbf7be5ca783013,27,55953,3,2
13,2009,10,sajwa05b39hr42352,35,73334,2,3
14,2011,11,2lmhj5at0bbj52545,38,77801,2,6
15,2010,12,yv4982dl2a2124581,41,84002,4,13
16,2009,13,3fahp08z09r134348,19,1,2,2
17,2014,14,1ft7w2b66eea10763,42,19808,1,3
18,2014,6,1fadp3k25el302876,47,20163,2,3
19,2007,15,2fmdk38c97bb22002,49,81458,5,2
20,2007,16,5tdzk22c87s093619,33,141965,6,6
21,2006,17,1ftrf02w96kb52203,35,100359,3,3
22,2004,18,1ftnx20p14ec53525,44,139133,4,3
23,2004,19,1ftpx04594kc73142,27,153730,4,3
24,2014,1,1n4al3ap6en337054,41,45263,7,2
25,2014,20,3c6jr6ct7eg128667,2,21689,2,2
26,2014,21,4t1bf1fk3eu327266,3,33959,3,3
27,2013,22,1g6ab5ra5d0157989,19,29538,8,2
28,2013,23,1g1ra6e49du122060,33,24562,8,2
29,2013,3,1fmcu0gx1dub69992,48,15591,1,6
30,2013,24,2fmdk3gc9dbb21929,45,27239,8,2
31,2013,15,2fmdk3jc3dbb11826,42,31523,1,3
32,2013,15,2fmdk3jc7dbb22117,45,51650,2,2
33,2013,3,1fmcu0gx3dub64342,42,18783,3,3
34,2013,25,js2yc5a31d6103095,36,17022,3,6
35,2012,15,2fmdk3jc7cba82216,19,1,8,2
36,2012,26,1hgcp2f74ca015061,33,31158,3,13
37,2012,27,5fnrl5h45cb021967,42,35845,8,3
38,2012,28,1hgcp2f32ca044362,38,36761,3,2
39,2012,29,5fnrl5h94cb010230,43,35996,2,3
40,2012,30,jm1bl1w52c1695587,4,12852,7,2
41,2014,31,1ftfw1ef4efc09466,41,40447,8,3
42,2014,32,1fadp3f22el306975,42,21542,4,2
43,2014,32,1fadp3f29el302602,41,24382,2,2
44,2013,33,1zvbp8cf9d5281501,46,26130,4,2
45,2010,34,jh4cu4f68ac000198,38,76360,3,2
46,2010,35,2a4rr6dx0ar193338,31,62715,1,3
47,2009,36,3gscl33p59s520476,35,1,2,3
48,2008,37,1zvht80n785102105,16,85570,7,2
49,2014,38,2fmdk3kc3eba54351,47,13121,1,14
50,2004,39,1gnec13z34r167684,1,282549,1,6
51,2014,40,1fmcu0j95eua71656,49,27333,7,2
52,2014,40,1fmcu0j92eua39747,45,31083,2,2
53,2014,40,1fmcu0j91eua71668,48,33820,1,2
54,2014,3,1fmcu0gx0eua47187,45,35494,3,2
55,2014,40,1fmcu0j98eua71666,47,19094,8,2
56,2004,41,wp1ac29p74la91861,28,114954,4,2
57,2014,42,1fm5k8f85egc48783,44,16849,2,2
58,2014,5,1fmjk1h51eef42086,49,24147,7,6
59,2014,43,1fmju2a55eef47687,5,14551,2,2
60,2014,42,1fm5k8f83egc36907,48,12571,3,2
61,2014,31,1ftfw1ef8efb17793,5,21233,1,3
62,2014,31,1ftfw1ef3efb62656,5,13594,2,13
63,2014,31,1ftew1cm8efa78250,48,14156,7,3
64,2014,31,1ftfw1ef2efb18549,5,15118,8,3
65,2014,6,1fadp3k27el283540,5,16266,1,2
66,2014,32,1fadp3f2xel296373,5,16726,8,3
67,2014,32,1fadp3f26el314609,5,13608,2,2
68,2014,32,1fadp3f23el318522,48,18426,1,2
69,2014,32,1fadp3f26el273219,45,22744,3,2
70,2014,4,3fa6p0h90er308016,48,19516,7,2
71,2014,44,3fa6p0k94er279077,47,17685,1,2
72,2014,4,1fa6p0h71e5389688,48,18079,7,2
73,2014,44,3fa6p0k99er261089,47,20829,1,2
74,2014,45,1zvbp8em8e5322861,46,17835,1,2
75,2014,45,1zvbp8em7e5323113,46,17738,2,3
76,2014,7,1fahp2e83eg165408,48,14035,1,13
77,2014,7,1fahp2e85eg165412,48,23395,8,6
78,2014,46,1fahp2f83eg163575,47,14163,1,2
79,2014,46,1fahp2f80eg149620,47,28127,2,6
80,2014,46,1fahp2f82eg165415,48,14339,8,2
81,2014,47,knadm4a34e6372626,38,12154,2,6
82,2014,48,3ln6l2gk5er802860,48,4713,8,2
83,2014,49,4t1bf1fk4eu314607,3,36029,8,3
84,2013,15,2fmdk4jc7dba02369,48,32466,3,3
85,2013,3,1fmcu0gx9duc41165,46,23744,2,2
86,2013,50,1fm5k7d82dgb46434,5,15220,1,3
87,2013,3,1fmcu0g96duc26477,34,36348,8,3
88,2013,32,1fadp3f20dl230154,48,22693,1,2
89,2013,51,5npec4ab4dh638023,34,33069,3,3
90,2013,52,2lmdj8jk8dbl22130,49,19945,3,13
91,2013,52,2lmdj8jk5dbl19492,5,10454,1,2
92,2012,53,1g1pg5sc0c7199389,25,50457,1,2
93,2012,15,2fmdk3jc8cba12787,32,57326,3,2
94,2014,54,3gnal4ek8es560059,28,34169,2,3
95,2012,6,1fahp3k21cl317874,5,33053,3,2
96,2012,48,3lnhl2jc6cr811980,44,29782,3,2
97,2014,55,2g1155s38e9118877,5,12974,8,2
98,2011,31,1ftfw1ct3bfc43631,43,80930,1,6
99,2011,56,kndmh4c73b6387198,34,54167,2,3
100,2011,57,wmwsv3c50bty20273,44,74534,3,2
101,2002,58,jthbn30f120065991,45,37949,9,6
102,2003,59,wdbrf61j93e009902,28,1,9,3
103,2014,60,1fmju1j5xeef49087,41,10708,4,13
104,2015,61,5npe24afxfh005731,44,20201,7,3
105,2014,62,jtdkn3du7e0364982,46,45753,3,3
106,2013,63,2c4rdgbgxdr716334,38,27709,7,3
107,2013,64,1fmcu0f78dua99019,44,24094,3,2
108,2013,3,1fmcu0gx1dub21795,44,17448,3,3
109,2013,64,1fmcu0f75duc02168,42,24235,2,3
110,2013,65,1fmcu0hx6duc33720,46,19209,8,3
111,2013,65,1fmcu0h90duc21662,5,10045,2,2
112,2012,50,1fmhk7d80cga92644,42,36112,8,2
113,2011,15,2fmdk3jc6bbb38015,44,30295,1,2
114,2014,66,1g11e5slxef160832,28,36385,2,3
115,2014,66,1g11e5sl4ef137451,27,27495,2,2
116,2014,67,1c3ccbab5en141595,2,28176,10,8
117,2008,68,2b3ka43r48h231886,19,154031,8,2
118,2014,69,2c4rc1bg9er131861,2,28905,1,13
119,2008,70,yv1ms390682402390,18,125660,2,2
120,2014,71,2c3cdyagxeh224606,2,25586,8,2
121,2006,72,1gnds13s962204461,15,123843,3,4
122,2006,73,kmhfc46f26a137010,27,130948,1,6
123,2006,74,sajwa51ax6we99931,25,96819,11,6
124,2006,75,jf1gd79676g519412,34,136037,2,2
125,2006,76,3vwrf71kx6m753195,28,132388,4,6
126,2014,77,1fadp5bu8el501790,46,29385,2,2
127,2014,38,2fmdk3kcxeba46974,49,15501,8,13
128,2004,78,1n4ba41e34c888244,36,121581,4,3
129,2003,26,jhmcm56633c021002,23,243643,6,13
130,2003,79,jnkcv51e03m009539,2,148749,6,6
131,2002,80,3fafp37302r134491,21,109475,1,3
132,2001,81,wbsbl934x1jr10150,36,110326,4,3
133,2015,61,5npe24af8fh005775,45,18128,1,3
134,2015,61,5npe24af8fh005761,49,20444,1,3
135,2015,61,5npe24af4fh005529,46,22807,1,3
136,2015,82,5xykt3a68fg566463,5,16013,12,2
137,2014,83,1vwat7a32ec058742,2,21680,10,2
138,2013,54,3gnal4ek7ds642265,48,30999,1,3
139,2013,84,1g1pc5sbxd7101635,41,55209,1,2
140,2013,3,1fmcu0g97dub27764,48,17909,2,2
141,2013,45,1zvbp8em2d5239487,36,60259,1,2
142,2013,85,kmhct4ae2du394620,37,37929,8,3
143,2013,86,kmhcu5ae6du070606,37,40320,3,3
144,2013,87,5n1al0mm7dc324331,39,37290,8,2
145,2012,88,5npeb4ac1ch385446,37,33890,1,13
146,2012,1,1n4al2ap4cn471701,19,84325,4,2
147,2010,89,1hgcp2e71aa087012,19,43808,2,2
148,2007,90,1g6kd57y07u127195,34,106426,6,13
149,2007,91,1g2zh361474271474,19,92501,4,13
150,2006,92,3gnec12z96g177687,21,99247,2,3
151,2006,93,2c3la63h46h291271,3,94901,8,3
152,2003,94,1gahg39u831209550,2,92801,4,3
153,2002,95,1b7hg38n22s563090,19,140271,4,3
154,2002,96,1ftyr44u52pa51307,35,161918,2,3
155,2001,97,1g2nf12e51m638746,19,181871,10,3
156,2001,98,4t1bf22k81u960254,19,185721,11,13
157,2014,99,5yfburhe5ep050360,2,23713,11,3
158,2013,65,1fmcu0hxxduc53758,46,12924,4,2
159,2013,88,5npeb4ac3dh742854,5,7529,1,6
160,2011,100,wbapm5c52be576103,49,37377,1,6
161,2012,101,1gkkrred5cj311506,5,69223,1,3
